#queryName	queryLength	firstQueryPos	lastQueryPos	hitName	hitLength	firstHitPos	lastHitPos	frame	hitDescription	numberOfHits	coverage	identity	evalue	score	hspLength	relIdentity
2701_g	1881	1	1806	Q7RHP3	516	1	516	+1	GAF domain protein	10	1.18	256	2e-110	405	608	0.43
2702_g	1383	1	1380	Q7RHP2	553	57	553	+1	Putative uncharacterized protein PY03942 	27	0.93	259	4e-134	483	512	0.51
2703_g	435	31	429	Q4Z126	111	9	105	+1	Putative uncharacterized protein	3	1.20	38	2e-09	66	133	0.29
2704_g	543	1	540	Q8I1Q2	187	1	187	+1	Bet3 transport protein, putative	30	1.00	154	2e-72	276	187	0.83
2705_g	972	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2706_g	1983	1	1824	Q4Y9H0	878	1	641	+1	Exonuclease i, putative	30	0.75	269	3e-124	451	661	0.41
2707_g	1434	4	1428	Q8IDQ7	517	3	515	+1	tRNA guanosine-2'-O-methyltransferase, 	30	1.02	261	3e-134	484	527	0.50
2708_g	2802	142	2799	Q4Z6K2	954	45	954	+1	Histidine kinase DhkG, putative	8	0.99	366	2e-161	575	946	0.39
2709_g	1977	1	1953	B3LBA5	667	1	651	+1	DNA replication licensing factor MCM5, 	30	0.98	620	0	1262	651	0.96
2710_g	1155	100	1152	P0CG71	838	1	836	+1	Polyubiquitin-A	30	0.42	303	3e-158	563	356	0.86
2711_g	3942	232	3930	Q9U445	1264	48	1259	+1	P-type ATPase4	30	0.98	870	0	1635	1235	0.71
2712_g	4296	136	4287	Q8II17	1517	108	1516	+1	DNA-directed RNA polymerase	30	0.95	724	0	1333	1446	0.51
2713_g	1506	1	1503	Q8MV47	487	1	487	+1	Coatomer delta subunit	30	1.03	384	0	719	502	0.77
2714_g	2859	851	1357	B4KQQ1	321	34	321	-3	GI19695	5	0.49	35	5e-08	66	157	0.23
2715_g	1377	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2716_g	528	22	522	Q8I3Y9	179	8	176	+1	Kinase binding protein CGI-121, putative 	6	0.94	67	1e-27	127	169	0.40
2717_g	1857	1	1848	Q8I3Y8	604	1	604	+1	Myo-inositol 1-phosphate synthase, putative 	30	1.03	395	0	721	624	0.64
2718_g	8691	1135	8634	Q8IEI2	2900	214	2900	+1	Putative uncharacterized protein	13	0.26	229	5e-78	300	766	0.30
2719_g	2499	79	2496	Q4XRG3	886	5	787	+1	Putative uncharacterized protein	30	0.94	325	1e-123	449	837	0.39
2720_g	2460	1192	2424	B3L1W1	689	270	682	+1	Cytoplasmic dynein inoermediate chain, 	30	0.60	279	1e-171	609	413	0.68
2721_g	1596	1	1590	Q4YWE2	480	44	478	+1	Putative uncharacterized protein	30	1.11	242	6e-99	367	534	0.46
2722_g	1722	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2723_g	667	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2724_g	1881	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2725_g	5740	76	3357	Q8IEJ4	2361	173	1267	+1	Putative uncharacterized protein	12	0.51	369	2e-127	463	1193	0.31
2726_g	755	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2727_g	1290	1	1281	Q8IEJ6	429	1	428	+1	Branched-chain alpha keto-acid dehydrogenase, 	30	1.00	296	1e-179	634	428	0.70
2728_g	192	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2729_g	1263	1	1260	A5K0M3	421	1	421	+1	DnaJ domain containing protein	30	1.00	338	0	721	421	0.81
2730_g	555	1	552	Q549B9	184	1	184	+1	41-2 antigen	30	1.00	151	5e-87	324	184	0.83
2731_g	4086	1018	3702	Q1JSB2	1383	538	1280	+1	SWI/SNF family transcriptional activator 	30	0.51	285	3e-129	469	703	0.41
2732_g	2301	1696	2286	O96179	504	298	496	+1	Conserved Plasmodium protein	3	0.41	65	2e-15	90	205	0.32
2733_g	582	315	467	O96181	1132	995	1045	-2	Transporter, putative	3	0.05	33	8e-12	75	51	0.65
2734_g	105	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2735_g	2961	322	2955	B3L0Q7	1024	12	547	+1	Putative uncharacterized protein	30	0.31	192	3e-106	392	316	0.61
2736_g	195	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2737_g	4935	1	4932	Q8ILJ1	1477	1	1477	+1	Putative uncharacterized protein	30	1.12	1098	0	1796	1656	0.67
